service_id,date,exception_type
20160013multiint-0000100,20160212,1
20160013multiint-0001100,20160212,1
20160013multiint-1111100,20160212,1
20160511multiint-0000010,20160213,1
20160611multiint-0000001,20160214,1
20160013multiint-1111000,20160215,1
20160013multiint-1111100,20160215,1
20160013multiint-1111000,20160216,1
20160013multiint-1111100,20160216,1
20160013multiint-1111000,20160217,1
20160013multiint-1111100,20160217,1
20160013multiint-0001100,20160218,1
20160013multiint-1111000,20160218,1
20160013multiint-1111100,20160218,1
20160013multiint-0000100,20160219,1
20160013multiint-0001100,20160219,1
20160013multiint-1111100,20160219,1
20160511multiint-0000010,20160220,1
20160611multiint-0000001,20160221,1
20160013multiint-1111000,20160222,1
20160013multiint-1111100,20160222,1
20160013multiint-1111000,20160223,1
20160013multiint-1111100,20160223,1
20160013multiint-1111000,20160224,1
20160013multiint-1111100,20160224,1
20160013multiint-0001100,20160225,1
20160013multiint-1111000,20160225,1
20160013multiint-1111100,20160225,1
20160013multiint-0000100,20160226,1
20160013multiint-0001100,20160226,1
20160013multiint-1111100,20160226,1
20161511multiint-0000010,20160227,1
20161611multiint-0000001,20160228,1
20161011multiint-1111000,20160229,1
20161011multiint-1111100,20160229,1
20161011multiint-1111000,20160301,1
20161011multiint-1111100,20160301,1
20161011multiint-1111000,20160302,1
20161011multiint-1111100,20160302,1
20161011multiint-0001100,20160303,1
20161011multiint-1111000,20160303,1
20161011multiint-1111100,20160303,1
20161011multiint-0000100,20160304,1
20161011multiint-0001100,20160304,1
20161011multiint-1111100,20160304,1
